Username,Location,Date,Reviews,Rating,Review Titles
Harry,CA,2024-03-17T23:06:32.000Z,"I screwed up and forgot to purchase insurance until I landed in another country. HeyMondo still sold me a policy, but it doesn't take effect for 72 hours. I understand they don't want someone purchasing insurance after they're already in distress, but how's about some sanity - if I get hit by a car tomorrow, I'm not covered. That's stressful. Charge me a penalty, and add an exclusion for pre-existing conditions, but there's no need to blanket refuse coverage.",4,I screwed up and forgot to purchase…
Alejandro  Fernandez,ES,2024-09-03T09:48:27.000Z,"Easy and secure, clear information. I hope never need to use it.",5,Easy and secure
customer,MX,2024-03-20T01:01:30.000Z,It can be difficult to get travel insurance to the United States if you are a US citizen living abroad. Heymonodo made it easy. Really appreciate how easy it is to use their website and app.,5,Easy to use website and app
customer,CO,2024-07-22T16:04:41.000Z,Be careful when you buy HeymondoIt was absolutely not clear to me that I have a deductible when I bought the annual insuranceIt’s a big deductible and it applies to each problem you have in n the same trip,1,Be careful when you buy Heymondo
Teresa,US,2024-07-28T02:47:24.000Z,"I have used Heymondo many times, always easy to navigate, excellent app and I am able to find the just right insurance package.",5,I have used Heymondo many times
Daisy,PH,2024-02-20T05:41:29.000Z,"The entire application was smooth.I did not have to read too much literature written in tiny fonts, as often happens. Yet, the instructions were clear. So were the options of travel insurance packages to choose from.Then, the response (approval) from the company came quick. Thank you!This is the first time I used Heymondo. I am glad I did. And I think I shall use this again, as well as recommend it to others.NOTE: Before using Heymondo, I had gone through some reviews on the net. I was terrified to hear of people being scammed, i.e. they had transacted with a fake Heymondo website! So, I made sure I was on the right webpage. Let's all be careful!",5,THERE IS ALWAYS A FIRST TIME
Christine Otley,IT,2024-06-09T19:13:41.000Z,"Excellent service and positive experience … but the underwriter for Italy is TERRIBLE!!! It’s been 6 months since I submitted my claim for a cancelled flight, and I still have no answer.What’s the point of having a great user experience if you can’t collect any money when you submit a claim?!?!",1,Impossible to collect money
Francine from Quebec,CA,2024-04-13T22:29:46.000Z,"Quick and clear for me.  Greatcoverage for the price. Sadly,  I've had to cancel my trip at the last minute.  I canceled the coverage on the day of my departure and received a full refund. Very happy with the service and professionalism provided.",5,Quick and clear for me
Eduard A.,ES,2024-07-29T09:01:30.000Z,Taking out insurance is easy and well explained. The insurance coverage is adequate. Perhaps the extra coverage could be more detailed. And it would be useful if more languages were supported.,4,Taking out insurance is easy and well explained
Anna,GT,2024-09-13T01:48:03.000Z,"Easy and clear website, competitive cost, great!",5,No fuss experience 
Vivi,MX,2024-04-08T13:11:19.000Z,"My experience with Heymondo travel insurance has been exceptional. Their app is user-friendly, and their customer service is outstanding. When my travel plans changed, they efficiently accommodated my request without any extra cost.During my travels, when I fell sick, Heymondo covered my medical expenses without any hassle and connected me with a great doctor.I highly recommend Heymondo for reliable and comprehensive travel insurance. Thank you, Heymondo, for your excellent service and unwavering support.",5,Outstanding Travel Insurance Experience
Kevin,CR,2024-07-18T06:46:50.000Z,Great insurance and price. The app is really cool. Thank you. Keep the prices affordable so that you attract more clients and keep the others.,5,Great insurance and price
Daniel William Hull,ES,2024-07-29T13:35:41.000Z,Not travelled yet but very easy website to use at comparable rates so far very good,5,Not travelled yet but very easy website…
Adrian,RO,2024-04-15T15:30:04.000Z,It was easy purchasing their products. I haven't needed their help yet regarding the purchased insurance. After all the website is reallt friendly.,5,friendly website
LTHREEZERO,US,2024-07-19T17:50:13.000Z,"the policy’s coverage period wasn’t clearly explained when I bought it, so I didn’t know I had to purchase it within a certain timeframe for it to work. To improve, it would be helpful if the company made the coverage details more obvious upfront and communicated better during the claims process. Being a bit more flexible with genuine, unforeseen issues like mine would also go a long way in improving customer satisfaction.",2,wasn’t clearly explained
Lilian Pappa,GR,2024-07-16T07:10:26.000Z,It was very easy to get the insurance!It would be helpful if there was a bit analysis on what you are getting covered!,5,Quick!
Danielle Allen-LeFevre,US,2024-01-22T03:19:21.000Z,Honestly not impressed at all with this company. 2.5 months waiting for a claim with no communication. When I email asking for updates they say they sent letters that I never received. Still waiting on an update. Will not be using them again.,1,Honestly not impressed at all with this…
R S,CA,2024-03-20T15:59:18.000Z,"My flight was cancelled the day before my flight. I had to buy a different ticket with another airline at the last minute. They said it was more than 24-hours before my flight so they didn’t provide financial compensation between the two flights. The sad thing is, it was 20-hours before the flight should have left, but it was delayed 8-hours before it was cancelled. They did nothing but tell me to go back to the original airline for compensation.They responded quickly, which is why 2-stars.Don’t expect much, and there is so much fine print to read.",2,Not reimbursed. Read Heymondo fine print. 
Kristin King,CA,2024-05-02T07:40:59.000Z,"Signing up is easy and fast, and the prices are great! During my travels, I'm confident they'll be an invaluable asset",5,Signing up is easy and fast
Angelone.uomoaquilone,DE,2024-05-28T00:44:41.000Z,"Got hurt in Thailand but luckily the clinic I went to had agreements with HeyMondo. Incredibly quick and easy management, no other concerns or issues besides getting better.",5,Got hurt in Thailand m
Linda ,BG,2024-02-03T14:06:43.000Z,"It is easy to use and clear. A big advantage is that you can use travel insurance from any country in which you reside. We'll see when I have to use them, if it's still worth its 5 stars. My vacation doesn't start until April.",5,It is easy to use and clear
Stacey,US,2024-03-21T08:00:44.000Z,Filed a claim first week Dec  2023 - we keep contacting them asking why it’s taking so long. Filled out all the forms and sent them in. They keep saying we need documents. Our travel agent sent a detailed email explaining what money was refunded and what we lost. They keep saying emails aren’t good enough.  That’s how everyone communicates!  If I would have known they were not located in North America- never would have used them.  We are still waiting for our refund 4 months later.  We are seniors who need that refund to pay our bills.,1,Filed a claim first week Dec  2023
Ignacio Novoa,DE,2024-07-02T09:12:38.000Z,Got a long term travel insurance with them and in the Particular Conditions of my contract they added a franchise so I had to pay the first 100€ of every issue I had. So basically It only covers mayor incidents...,1,Lies about long term stay
Sandra de Ugarte,PE,2024-04-06T20:21:31.000Z,"I love Heymondo. The variety of services they offer for traveling insurance makes it versatile and great to fit any traveling. I'm always doing adventure sports and traveling with electronics, so having the option of coverage is the best part.",5,I love Heymondo!
Lara,IT,2024-07-17T17:49:35.000Z,"I had a problem not allowing me to purchase the insurance and the assistant at the customer service helped me quickly and professionally. In addition, the price is extremely advantageous.In any case, it would be even nicer if they had a customer service available at least a few hours over the weekend because I contacted the company on a Friday and was contacted back only the following Monday.",4,I had a problem not allowing me to purchase an insurance 
XX,US,2024-06-25T19:56:38.000Z,"I’ve used Heymondo on a number of family trips for the peace of mind and generally found their enrollment process to be smooth.  However, the true caliber of any person or company can be measured in their ability to fulfill any promise or obligation.  After actually filing a claim, I’ve discovered that Heymondo is all slick and shiny but basically just another insurance company who relies on deceitful and utter useless partners such as ACI and STARR.  I went on a 7 day cruise from Seattle to Alaska while my luggage went to Detroit.  Returning home, I filed a claim {80071875} on May 23, 2024 for just over $500.00 and obtained a notice indicating the documentation and receipts were “well received”.  On June 14, 2024 I contacted ACI to learn the case had been closed and then reached out to STARR who  was “just about” to mail a letter asking for additional information.  Specifically, they were satisfied with the receipts but wanted verification that no other carrier paid on the claim.  I’ve completed their documentation, answered their questions and continue to jump thru the hoops they throw out to stall and delay.  It’s a one way street where I’ve done all the work and track down people to nudge just to process the claim.  So a month later and I’m still waiting on their letter and for the other shoe to drop…",1,Good till you need them
customer,AE,2024-02-29T15:27:06.000Z,"I can only rate the booking experience yet, as I didn't travel yet:Easy to understand and to book, good presentation of the information on the website.",5,Booking experience is smooth and fast…
Darryl,CA,2024-02-20T02:37:00.000Z,Purchasing was easy. It's my go to travel insurance company. Price can't be beat (I'm 67). I have never had a claim so can't comment on that side of the business.,5,Purchasing was easy
Cheryl,US,2024-05-24T23:42:55.000Z,It was an easy to follow website.  I liked getting a fast quote and the one I purchased seems to have everything I thought was important.  I hope to not have to use it but it's worth my piece of mind.,5,Site Ease
maria,DE,2024-05-24T14:28:32.000Z,"My charge has been duplicated and i had 2 policy numbers, but they fixed ir immediately and cancelled one of the payments. Very fast response.",4,My charge has been duplicated and i…
customer,PH,2024-03-27T07:44:22.000Z,The process was very smooth and straightforward. The comparison of the plans available and the amount insured was easy to access and understand.,5,The process was very smooth and…
Carol Seebalack-,TT,2024-06-10T23:56:07.000Z,getting a travel medical insurance from the company was easily accessible. The price of the insurance is very affordable. Thank You.,5,getting a travel medical insurance from…
Alberto,ES,2024-04-02T14:34:10.000Z,"Thanks for your answer and updates.It really shows how your company operates that the reason I'm not covered by your insurance is because my dad got sick 2 days before our trip started. If it had happened right at the airport, then the insurance would have kicked in. So, now I get that I paid for insurance that was basically canceled before we even took off. You didn’t provide any service but still took my money. The least you could do is give me my money back since I got nothing out of this. It feels like a scam. You should probably stop offering coverage for family illness or accidents since it only seems to apply when it suits you. Best regards.Heymondo the phantom coverage. I got an insurance travel with this company and exactly 2 days before departing my father who is an elderly was hospitalised for 7 days. Me and my partner swapped everything we could flights for a late date, obviously paying high prices for that, and we lost some activities we had booked in the destiny. Do you think this marvellous insurance cover me in any way? Nop, not even a “we are sorry about your situation”",1,Heymondo the phantom coverage
enrico catanzariti,US,2024-05-01T16:56:02.000Z,I am glad there is an insurance company that allows you to get a travel insurance while already traveling!,5,I am glad there is an insurance company…
JK,US,2024-03-09T19:55:54.000Z,I filed a claim 2 months ago. I still have not heard back from anybody.Sonia sent me a message through whatsapp. I responded. That was it. Did not hear back.Really poor customer service. I do not recommend this agency.,1,I filed a claim 2 months ago
Gonzalo,GB,2024-08-05T10:03:08.000Z,They didn't grant me medical assistance and took a lot of time to respond. Useless,1,They didn't grant me medical assistance…
Customer,PH,2024-03-06T07:54:21.000Z,The application and payment process was very straight forward and easy! I have no experience of the claiming process yet since my travel has yet started but hopefully it will be the same (hence the 4 stars since it's an incomplete experience I'm rating).,4,Fast and easy application and payment process
Debbie,AU,2024-04-16T10:32:24.000Z,The receipt for payment showeda massive difference that was taken frommy bank account  - be careful !!Receipt showed in Australian dollars !!,1,The receipt for payment showed in Aussie dollars 
Kristoffer,PH,2024-03-22T05:40:57.000Z,I broke my lock on 2 separate flights but the same leg of my trip. I had it fixed in rimowa store near my hotel (luckily they do it on the spot so fast) and i got my refund through hey mondo for the locks that i paid for.,4,Locks refunded 
customer,CA,2024-05-24T00:24:30.000Z,I appreciate how this company gave me an instant quote instead of having a sales person call me and didn't spam me with several emails trying to get me to purchase.,5,I appreciate how this company gave me…
Leslee Tanasiuk,CA,2024-03-12T02:19:22.000Z,Such an easy process.  It only takes a matter of minutes.  We have used Heymondo before and will continue to do so.,5,Such an easy process
customer,TH,2024-02-16T06:37:52.000Z,"Very good, fast arrangement and clear instructions. 4 stars just because I didn't have any medical emergency until now, so actually I don't know their response.",4,Very good
Linas Kilda,LT,2024-09-10T09:26:14.000Z,"Fast and user friendly, installed app only in Spanish",4,Fast and user friendly
Manel JOAQUIN CAUDET,ES,2024-07-03T15:55:40.000Z,Straighforward and easy to use. Insurance plans well explained and reasonable prices.,5,Straighforward and easy to use
Stefano,CH,2024-05-19T10:17:42.000Z,All very simple and clear for insurance membership.I hope I don't need them on my journey,5,All very simple and clear 
customer,US,2024-08-28T19:57:36.000Z,Very good just disappointed that the cut off age is 69,4,Very good just disappointed that the…
Fricojeane,ZA,2024-01-24T20:16:53.000Z,"My experience is the web pages to obtain a policy is to the point, extremely user friendly.",5,"Quick service, with no hassel."
customer,GR,2024-04-07T11:33:34.000Z,I had problems with the app on my android 13 phone. Customer service was very helpful and the app started working an hour later.,4,I had problems with the app on my…
Dany,RO,2024-03-15T03:57:07.000Z,"I accidentally hit my left little toe. It swelled up and I can only walk with great pain... I am currently on vacation and have their premium policy. Today is Sunday, and since this morning since 7 o'clock or so I've been trying to talk to them and I can't have a complete conversation. I tried from their ""Customer Service"" application and there is no one online for 8 hours, I keep trying... I left messages there, nobody answered my messages yet... I called ""Travel Assistance"", I find it hard to answer, and after a few words are exchanged, they tell me that they can't hear me anymore (?!) and the conversation is interrupted... Specifically, I have maximum signal and good quality internet here in the resort where I am. All I have to do is go to the resort at my own expense, hoping that later I can recover the money based on the invoice... In the application it says customer service 24/7, they haven't answered my messages for more than 8 hours... Accidents don't have ""Sunday off""... I'll keep you updated on the evolution of things.UPDATE 14 MARCH 2024:On Monday, March 11, 2024, I managed to get in touch with them. I went to the resort's clinic at my own expense, and my expenses will be settled based on the documents received from the doctor and the resort. At least I hope so :) I recommend this insurance only to those who don't get sick on Sunday... :))P.S. I'm fine now... :)",4,I accidentally hit my left little toe
tarpgalaktinis,AE,2024-08-11T02:25:28.000Z,"My trip is starting on 17 Aug 2024 and even though I selected this date for my annual insurance, sertificate is showing the start on 11 August which is the same as policy purchasing date, but not what I had selected and needed, unfortunately.",3,Wrong STARTING DATE
Mrs Karen Martin,GB,2024-02-19T13:45:58.000Z,I made an error on my initial application and received support within minutes.I was refunded within 2 days and was able to rectify my error effortlessly.,5,Fantastic Service
Virginia,SG,2024-04-18T06:39:33.000Z,"I always use Mondo, is amazinG! Great prices, great customer experience, great team.",5,I always use Mondo
Carl Hansen,NZ,2024-05-26T06:14:23.000Z,Very simple and easy to use website for choosing insurance options,5,Very simple and easy to use website for…
Trevor Payton,GB,2024-08-04T13:12:50.000Z,"EASY TO UNDERSTAND, SUFFICIENT COVERAGE WITHOUT EXTORTIONATE ADDITIONS FOR MEDICAL CONDITIONS. GREAT PRICE FOR PEACE OF MIND. WOULD DEFINITELY RECOMMEND",5,EASY TO UNDERSTAND
Steven Herring,CN,2024-01-11T08:25:02.000Z,Chose the wrong country of origin but customer service helped resolve the situation quickly.,5,Chose the wrong country of origin but…
Mr G Scott.,GB,2024-07-24T15:24:40.000Z,Cover looks good.Very professional.Easy to purchase online.,5,Very professional.
amichellethotmail.com,CA,2024-05-01T19:01:17.000Z,"Beware of Heymondo Insurance and its parent company Iris Global! My experience with them has been nothing short of a nightmare. I purchased insurance in November 2023, thinking I was securing peace of mind for my trip. Little did I know, I was actually signing up for a rollercoaster ride of incompetence, deception, and outright theft.During my trip, I found myself very sick and requiring hospitalization. But the scariest part was the abysmal customer service I received from Heymondo and Iris Global thereafter. It's like they have a rotating door for their email responses—every time I reached out, I got a different person, none of whom seemed to be able to provide me with any an answers.They have been feeding me lies upon lies, claiming to have paid over $75,000 in medical expenses without providing a shred of evidence. When I attempted to verify these payments with the hospital and flight company, surprise, surprise—no record of such payments existed. And let's not even get started on the coverage for companion expenses, which they conveniently haven’t paid despite my relentless provision of receipts.Let me make this crystal clear: Heymondo and Iris Global are fraudulent entities, preying on unsuspecting customers like myself. They will gladly take your hard-earned money and leave you high and dry when you need them the most. This is not just incompetence; this is outright theft.Save yourself the agony and financial ruin—DO NOT, under any circumstances, buy insurance from these crooks. Spread the word far and wide; warn everyone you know. I refuse to believe that there's a single positive review out there that isn't fabricated by Heymondo and Iris Global themselves.As for Heymondo and Iris Global, I hope you're reading this. Your despicable conduct has not gone unnoticed. I will not rest until your true nature as thieves and scammers is exposed. Shame on you.",1,BEWARE of THIEVES Heymondo Insurance
Angela Gail Hook,GB,2024-02-25T18:45:45.000Z,website easy to use always been very straight forward and rates competitive.,5,website easy to use always been very…
Fanni,HU,2024-03-06T13:27:12.000Z,"Very good website, user friendly app, fast insurance process",5,Excellent service
James,GB,2024-04-05T16:46:20.000Z,A great value budget insurance and the app is an added bonus,5,A great value budget insurance and the…
P. B.,CA,2024-02-22T19:54:46.000Z,Great coverage for a great price.  I've used Heymondo before and I'll use them again.,5,Great coverage for a great price
R.,GB,2024-05-28T19:16:22.000Z,"Offers an additional activity package, at a decent price. Most other insurance companies, offering to cover residents of everywhere, don't have this option.",5,Offers an additional activity package. 
customer,HU,2024-08-31T15:55:12.000Z,"provide some offers....discounts, etc..",4,provide some offers....discounts
Aliki,BE,2024-03-01T14:12:10.000Z,"Super quick, simple and efficient!! Love when this happens!!",5,Super quick and efficuebt
NESTOR J. HERNANDEZ,CO,2024-03-01T21:55:18.000Z,Excelente experince to buy the insurance policy. Fast and easy to buy.The documentation arrived inmediately to my email.,5,Excelente experince to buy the…
Francesco Marazzi,IT,2024-03-07T12:35:08.000Z,I had a medical emergency in Thailand and they have been absolutely perfect and helpful in a difficult and stressful time for me.Absolutely recommended.,5,Absolutely recommended
Robert James,GB,2024-02-14T01:27:23.000Z,"I have had a number of policies over the years with Heymondo and most of my experiences with them have been worrisome.  In looking at the reviews below, I notice that the majority of the positive comments relate to the purchasing of the travel policy - at which Heymondo does an admittedly good job - but there seem to be quite a number of negative posts about the claims process and which, after all, should be the preeminent consideration of any traveler. Putting the missives of 'haters' aside, I believe that the concern is legitimate considering 1. it is literally impossible to get anybody from Heymondo on a call; 2. the Heymondo policy is subject to Spanish law (which might be problematic for many travelers) and 3. in the case of British travelers, my impression is that the Heymondo policy is not subject to the oversight of the UK's Financial Conduct Authority. As mentioned above, best that buyers be aware and carefully comparison shop.FURTHER UPDATE:In reply to Heymondo's reply, in my experience I have never been able to get anyone from Heymondo on a call and I am happy to stand corrected. That said, in the case of a dispute, the fact that the policy is subject to Spanish law - regardless of the residence of the policyholder - is an important point for buyers as is the fact that British policyholders do not benefit from FCA oversight. I believe that both these points are true statements and should be flagged to potential purchasers.",2,Buyer Beware!
David,GB,2024-05-23T10:27:42.000Z,Simple easy to follow instructions. Only took a few minutes,5,Simple easy to follow instructions
michelei,IT,2024-05-06T16:25:33.000Z,Very easy interface with all the details highlited.,5,Very easy interface with all the…
Nelson,CO,2024-01-10T01:56:08.000Z,Easy to buy and give me a lot of information to compare!,5,Easy to buy
customer,JP,2024-03-14T08:40:14.000Z,"The policy of only 29 days or less for over 49 is asinine and ageism, and makes no sense in todays world.",1,ageism and archaic policies
Marcus Langford-Lee,FJ,2024-04-30T11:32:43.000Z,"Very efficient and quick, hassle-free and great product offering.",5,Very efficient and quick
Harris Katopodis,GR,2024-04-29T00:42:53.000Z,Solve logistigs issue on an essay way,5,Solve logistigs issue on an essay way
Yap,MY,2024-03-20T14:08:13.000Z,"I think the procedure of purchasing it's simple, fast and easy to understand, overall a great experience",5,I think the procedure of purchasing…
Santosh Kamath,IN,2024-05-10T09:38:09.000Z,Smooth and simple process to buy insurance.,5,Smooth and simple.
Kevin,AU,2024-07-28T08:21:33.000Z,"Good interface, easy to use",5,Good interface
Fiona Mc Clarty,ZA,2024-03-05T11:55:06.000Z,The help was super-fast and covers exactly the insurance cover that I need for a holiday.,5,EXCELLENT HELP!
Liv,FR,2024-05-11T10:44:28.000Z,they never replied after requesting help as I had a flight cancellation,1,they never replied after requesting…
customer,ES,2024-02-29T21:14:01.000Z,"Simple and easy to book insurance on line, no fuss, very quick and clear.",5,Simple and easy to book insurance on…
customer,CN,2024-01-10T08:57:55.000Z,Very quick and easy to find the cover needed. The app seems good and saved some money on the policy when traveling to India.,4,Very quick and easy to find the cover…
